name,rating
Sosaku Chuka Ichino Funairi,3.61
Roji-oku,3.47
Italian BAR KIMURAYA Kyoto Ekimae Ten,3.38
mushitoatefuxufuxu Karasuma Rokkaku Ten,-
Roppakuya KADO,3.24
Tenjuen,3.31
Yakiniku Okumura,3.12
Ganso Chijimi no Ousama,3.46
Tajima Tei,3.37
Tendan The Dining Yamashina Ten,3.17
Koori to Kunsei Entotsu KYOTO,3.39
Oyogi Ika to Gyoza Sakaba Haneya Kyoto Sain Ten,3.01
neosakabadanran,-
sumibiyakitoritohitokuchigyouzatoratoriya Shijo Kawaramachi Ten,3.20
Ikedaya Hanano Mai,3.04
Kyokaiseki Minokichi Karasumashiyo Ten,3.07
Tsuyu Shabu CHIRIRI Shijo Karasuma Bettei,3.14
kyoumeshi tokoro tonjiru semmonten shigechan,3.12
Nouvelle Epoque Hotel Oakura Kyoto Okazaki Bettei,3.29
To Shijo Karasuma Ten,3.07
Sake to Sakana to Warayaki Wadatsumi,3.08
Furaibo Kyotoabantiten,3.05
Comida Latina COSTA,3.38
Ishigama Bar CENTRO,3.29
gionsumiyakikamorabo,3.05
Planetarium Cafe&Bar Misora,3.14
Gosho Minami Kinpachi,3.01
Sake to Sakana to Ryugen,3.09
Kameya Nishi Ten,3.08
Take Tori,3.09
Hassaku,3.22
Obanzai Sakuragawa,3.27
Craft Beer Sakaba Tap House Fushimi,3.14
Janoku BBQ & Nabe Jajan Kara Kyodai Box Ten,-
Seafood Izakaya Kyoto Han no Mai Chuogu Chikimae Ten,3.02
Niku Tei Yuhi,3.20
ELOVE,3.41
Gion Takezushi,3.14
Jukusei Yakiniku Pound Kyoto Ekimae Ten,3.08
ushinokushitodashimubou Sanjo Kiyamachi Ten,-
Seafood Tokidoki Buta,3.27
Yakiton Kemuri,3.30
bar HIGH CENTRAL,3.05
MEAT UP,3.18
Yakitori Kamameshi Iroha Karuta Kiyachohonten,3.17
Cheese to Nama Hachimitsu BeNe Kyoto Kawaramachi Ten,3.26
Cheers Kitchen KYOTO,3.08
WINE BISTRO by plein Kyoto Gion,3.12
accent lingerie,3.02
Nihonshu Sumiyakiya Iki,3.34
Il Chianti Kyoto Kawaramachi Sanjo Ten,3.13
Kin no Tori Kyotoekihonten,3.02
Gyushabu Gyusuki All you can eat Tajimaya Shijo Kawaramachi Ten,3.06
Ryu An,3.37
Yamori Do,3.48
Kyo no Sake Sora,3.27
Gion Bistro Maruhashi,3.53
Donguri Shijoomiya Ten,3.16
IL LAGO,3.37
Tenka no Yakiniku Daishogun Kyoto Ekimae Ten,3.29
Yakiniku Nonki,3.25
ajiromanishigamatei,-
Kyogoku Kaneyo,3.49
Shoku Kyoto Ogawa Shoyaku Restaurant,3.33
Teppan Sakaba Chacha Stand,3.05
BENJAMIN GRILL KYOTO,3.22
wagyuunikuryourimatsugasakihirari,-
Nagomi Ren Karasuma Ten,3.09
Taishu Sakaba Woniwa Kawaramachi Ten,3.51
Suishin Kyoto Ekimae Ten,3.34
Tori Sakana Kyoto Kawaramachi Ten,3.00
Sumika Tomi Koji Ten,3.51
kaisentosumiyakinagi,3.05
Gion Hanamai,3.05
Pontocho Sushi Yoshino,3.16
Kyoto Gohan Amami no Keihan Komoto,3.29
Café Haleine,3.08
Kyo no Yakiniku Dokoro Renzou,3.27
Kyomachiya no Kuroge Wagyu Ittogai Yakiniku Ichiba Koji Kiyamachi Ten,3.26
Tsuda Ro,3.42
LOTUS,3.35
Kyoryori Takeshima ICHIGO,3.37
Kyo Sakaba Danran,3.28
