,name,rating,link,lat,long,avg price,description,primary_cuisine
99,Kyouto Chukaryouri Seikaen Keyamachiten,3.02,https://tabelog.com/en/kyoto/A2601/A260301/26041777/,35.007207229389415,135.77070385079037,2499.5,"Sanjo Sta., Izakaya (Tavern), Chinese, Dumplings",Chinese
100,Sakana to Kamameshi Suishin Sain Ten,3.05,https://tabelog.com/en/kyoto/A2601/A260401/26003335/,35.002731193437015,135.7316950743278,3499.5,"Saiin Sta., Izakaya (Tavern), Yakitori (Grilled chicken skewers), Seafood",Japanese
101,Kitchen Tomato,3.12,https://tabelog.com/en/kyoto/A2601/A260202/26038603/,35.0175158163741,135.75662829038913,3499.5,"Marutamachi Sta., Italian, Dining bar, Izakaya (Tavern)",Italian
102,Raclette loom,3.14,https://tabelog.com/en/kyoto/A2601/A260201/26038801/,34.99880213787576,135.76699258029478,4499.5,"Kiyomizu Gojo Sta., Baru (Spanish style bar), Italian",Italian
103,Kuroge Wagyu Tan to Harami Yakiniku Ryu,3.23,https://tabelog.com/en/kyoto/A2601/A260201/26042170/,35.00540070569766,135.76941289579094,5499.5,"Kyoto Kawaramachi Sta., Yakiniku (BBQ Beef), Horumon (BBQ Offel), Izakaya (Tavern)",Japanese
104,Niku Mon Shijoomiya Honten,3.37,https://tabelog.com/en/kyoto/A2601/A260203/26024455/,35.00429953786637,135.74849048036327,4499.5,"Omiya Sta., Yakiniku (BBQ Beef), Motsu Nabe (Offel Hot Pot), Izakaya (Tavern)",Japanese
105,kyounokawabata,3.12,https://tabelog.com/en/kyoto/A2601/A260301/26042226/,35.00476752155462,135.77249075916083,5499.5,"Gion Shijo Sta., Izakaya (Tavern)",Japanese
106,Gion Sushi Taku,3.40,https://tabelog.com/en/kyoto/A2601/A260301/26040681/,35.004756184175235,135.77537024276424,17499.5,"Gion Shijo Sta., Sushi, Seafood, Unagi (Eel)",Japanese
107,Kizakura Jiroku Tei,3.27,https://tabelog.com/en/kyoto/A2601/A260301/26001187/,35.00830350008326,135.77065019366114,3499.5,"Sanjo Sta., Izakaya (Tavern), Japanese Cuisine, Hot Pot",Japanese
108,Kyo Gochisou Ishimaru,3.11,https://tabelog.com/en/kyoto/A2601/A260101/26025477/,34.98907653787782,135.75408308020556,8999.5,"Kyoto Sta., Japanese Cuisine, Seafood",Japanese
109,Kappa Sushi Muko Ten,3.02,https://tabelog.com/en/kyoto/A2607/A260702/26020811/,34.943838937894775,135.71710127977457,1499.5,"Nishi Muko Sta., Kaiten sushi (Conveyor belt sushi)",Japanese
110,Private room × Kyo Izakaya Kyojinbei,3.07,https://tabelog.com/en/kyoto/A2601/A260101/26031679/,34.98742713788122,135.76144108018377,3499.5,"Kyoto Sta., Izakaya (Tavern), Japanese Cuisine, Shabu shabu (Japanese hotpot)",Japanese
111,Hikohachi,3.09,https://tabelog.com/en/kyoto/A2601/A260301/26016449/,35.000418626906026,135.77733611254178,5499.5,"Gion Shijo Sta., Sushi, Seafood, Izakaya (Tavern)",Japanese
112,genshisumiyakihamaichi Kyoto Ekimae Ten,3.02,https://tabelog.com/en/kyoto/A2601/A260101/26041968/,34.986912855434994,135.76178635911043,4499.5,"Kyoto Sta., Izakaya (Tavern), Seafood, Regional Cuisine",Japanese
113,Omi-gyu Sukiyaki Shabushabu Miyako,3.05,https://tabelog.com/en/kyoto/A2601/A260201/26041499/,35.0084445730355,135.76932946351909,6999.5,"Sanjo Sta., Sukiyaki, Shabu shabu (Japanese hotpot), Sushi",Japanese
114,Jukusei Yakiniku Pound Shijoomiya Ten,3.06,https://tabelog.com/en/kyoto/A2601/A260203/26023889/,35.0045441378661,135.748128280366,5499.5,"Omiya Sta., Yakiniku (BBQ Beef), Horumon (BBQ Offel), Hamburger steak",Japanese
115,Roast Chicken Dining Yoshida Chicken,3.30,https://tabelog.com/en/kyoto/A2601/A260302/26026321/,35.02849833786265,135.78505838058206,3499.5,"Mototanaka Sta., Restaurants, Dining bar, Curry",Japanese
